title,link,date,agency
"[보도자료] 김소영 부위원장, 가맹점·소비자·카드사와 함께 신용카드업 상생·발전방안 논의",https://www.fsc.go.kr/no010101/82922?srchCtgry=&curPage=&srchKey=&srchText=&srchBeginDt=&srchEndDt=,2024-08-20,금융위원회
[보도자료] ‘금융안정’과 ‘지속가능한 경제성장’을 위한 은행의 역할을 논의했습니다. - 금융위원장 금융권 릴레이 간담회: 은행권,https://www.fsc.go.kr/no010101/82917?srchCtgry=&curPage=&srchKey=&srchText=&srchBeginDt=&srchEndDt=,2024-08-20,금융위원회
